biz_no,company_name,company_size,company_type,industry_code,industry_name,zip_code,address,region,city_district,phone_number,email,fax_number,gfc_transaction_yn,group_transaction_yn,ked_transaction_yn,patent_transaction_yn,establish_date,corporate_reg_no,representative_name,national_pension,pension_count,pension_date,employee_count,jibun_address
1348178362,이에스피(주),소기업,주식회사,C27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",11167.0,경기 포천시 가산면 정금로473번길 27-4 (금현리),경기,포천시,031 595 8091,espco0908@hanmail.net,031 595 8093,Y,Y,Y,Y,20020110.0,1355110123039.0,김*임,9.0,11,20241231,11,경기 포천시 가산면 금현리 168-1번지
7522700035,삼우보일러,소상공인,개인기업,C25121,산업용 난방보일러 및 방열기 제조업,11160.0,경기 포천시 해룡로 89 (설운동),경기,포천시,,,,N,Y,N,N,20150901.0,,조*광,,6,20241231,6,경기 포천시 설운동 560-24번지
1408104225,케이라미(주),소기업,주식회사,C22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",11123.0,경기 포천시 화현면 달인동로1길 27 (화현리),경기,포천시,031 531 9430,klami01@k-lami.com,031 531 9433,Y,N,N,N,20041020.0,1355110154232.0,나*열,11.0,15,20250403,15,경기 포천시 화현면 화현리 847-2번지
1808602652,(주)신광에너지,소상공인,주식회사,F42311,일반전기 공사업,11149.0,"경기 포천시 중앙로 62, 3층 (신읍동,수은빌딩)",경기,포천시,,,,N,Y,N,N,20230206.0,2802110256848.0,신*철,7.0,7,20241231,7,경기 포천시 신읍동 65-17번지 수은빌딩 3층
1908600476,(주)제페토,소기업,주식회사,C32029,기타 목재가구 제조업,11190.0,경기 포천시 내촌면 포천로 327-4 (진목리),경기,포천시,,,,N,Y,N,Y,20160404.0,2844110087526.0,윤*식,21.0,21,20241231,21,경기 포천시 내촌면 진목리 905-11번지
3138800151,(주)제일스티로폴,중기업,주식회사,C22259,기타 플라스틱 발포 성형제품 제조업,11123.0,경기 포천시 화현면 금강로 4035-19 (화현리),경기,포천시,031 533 4441,,,N,N,N,N,20150805.0,2844110084069.0,김*진,16.0,20,20241231,20,경기 포천시 화현면 화현리 265번지
1328177805,삼원산업(주),소기업,주식회사,C20202,합성수지 및 기타 플라스틱 물질 제조업,11152.0,경기 포천시 군내면 반월산성로375번길 111 (상성북리),경기,포천시,031 574 3207,,031 574 3206,N,N,N,Y,20080630.0,2841110073886.0,심*승,22.0,24,20241231,24,경기 포천시 군내면 상성북리 363번지
7238601751,(주)제이앤코퍼레이션,소상공인,주식회사,C32099,그 외 기타 가구 제조업,11161.0,경기 포천시 호국로917번길 47-51 (설운동),경기,포천시,,,,N,N,N,N,20200219.0,2844110112589.0,김*보,5.0,6,20241231,6,경기 포천시 설운동 130번지
1348740932,(주)신광앤해동종합건설,소상공인,주식회사,F42412,"도배, 실내장식 및 내장 목공사업",11169.0,"경기 포천시 소흘읍 호국로 680, 2층 205호 (송우리)",경기,포천시,,,,N,N,N,Y,20231215.0,1201111351973.0,정*광,4.0,7,20241231,7,경기 포천시 소흘읍 송우리 110-16번지 2층 205호
4178601875,수암산업개발(주),소상공인,주식회사,F42121,토공사업,11135.0,경기 포천시 창수면 신창길 172-5 (가양리),경기,포천시,,,,N,N,N,N,20200513.0,2844110114337.0,최*미,6.0,5,20241231,5,경기 포천시 창수면 가양리 23-17번지
1278619638,(주)모닝터치,소기업,주식회사,C22231,"플라스틱 포대, 봉투 및 유사제품 제조업",11182.0,경기 포천시 소흘읍 응골1길 37 (초가팔리),경기,포천시,031 532 8686,morningtouch@naver.com,031 532 1723,Y,N,Y,Y,20090929.0,2844110055466.0,고*화,11.0,11,20241231,11,경기 포천시 소흘읍 초가팔리 173-3번지
4428801588,(주)에이콤,소상공인,주식회사,C29132,기체 펌프 및 압축기 제조업,11158.0,경기 포천시 호국로1145번길 116 (선단동),경기,포천시,,,,N,N,Y,Y,20200417.0,2841110230048.0,이*호,5.0,5,20241231,5,경기 포천시 선단동 310번지
7818100675,(주)베딩나라,소기업,주식회사,G46412,커튼 및 침구용품 도매업,11183.0,경기 포천시 소흘읍 거친봉이길 110 (무봉리),경기,포천시,,,,N,N,Y,Y,20170816.0,2802110170189.0,이*정,13.0,11,20200526,11,경기 포천시 소흘읍 무봉리 415-6번지
7798802193,(주)케이제이통통,소기업,주식회사,G46800,상품 종합 도매업,11124.0,경기 포천시 화현면 봉화로 688 (지현리),경기,포천시,,,,N,N,N,Y,20211119.0,2844110127091.0,고*일,10.0,8,20241231,8,경기 포천시 화현면 지현리 161-2번지
4178151569,(주)태양테크,소기업,주식회사,C25112,구조용 금속 판제품 및 공작물 제조업,11167.0,경기 포천시 가산면 금현경제로1길 9 (금현리),경기,포천시,031 543 4475,,031 542 4723,N,Y,Y,Y,20170614.0,2844110094589.0,이*호,17.0,19,20241231,19,경기 포천시 가산면 금현리 1161번지
2318108911,크라운디자인퍼니쳐(주),소상공인,주식회사,C32099,그 외 기타 가구 제조업,11157.0,경기 포천시 군내면 연정말길 6-70 (유교리),경기,포천시,,,,Y,N,N,Y,20150113.0,2844110080744.0,박*성,6.0,6,20241231,6,경기 포천시 군내면 유교리 811-3번지
8188602645,(주)예성에프앤비,소기업,주식회사,C10799,그 외 기타 식료품 제조업,11192.0,"경기 포천시 내촌면 매봉1길 21, 나동 1층 (음현리)",경기,포천시,,,,N,N,N,N,20221215.0,2844110135614.0,김*명,41.0,30,20241231,30,경기 포천시 내촌면 음현리 494-2번지 나동 1층
